[Map Map Map Map ], 2500, 0, False, 0.0001, 1, 0.01, 30, 30, 2, 0.5, 1, run1_Map_koh__init.txt, run1_Map_q_1.txt, , run1_Map_q_1.txt, 799, 9209, 7.98%, 799, 9209, 7.98%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 
[Map Map Map Map ], 2500, 0, False, 0.0001, 1, 0.01, 30, 30, 2, 0.5, 1, run1_Map_koh__init.txt, run1_Map_q_2.txt, , run1_Map_q_2.txt, 48, 9960, 0.48%, 48, 9960, 0.48%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 
[Map Map Map Map ], 2500, 0, False, 0.0001, 1, 0.01, 30, 30, 2, 0.5, 1, run1_Map_koh__init.txt, run1_Map_q_3.txt, , run1_Map_q_3.txt, 1293, 8714, 12.92%, 1293, 8714, 12.92%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 
[Map Map Map Map ], 2500, 0, False, 0.0001, 1, 0.01, 30, 30, 2, 0.5, 1, run1_Map_koh__init.txt, run1_Map_q_4.txt, , run1_Map_q_4.txt, 264, 9744, 2.64%, 264, 9744, 2.64%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 
[Map Map Map Map ], 2500, 0, False, 0.0001, 1, 0.01, 30, 30, 2, 0.5, 1, run1_Map_koh__init.txt, run1_Map_q_5.txt, , run1_Map_q_5.txt, 189, 9818, 1.89%, 189, 9818, 1.89%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 

[Map1 Map1 Map1 Map1 ], 2500, 0, False, 0.0001, 1, 0.01, 30, 30, 2, 0.5, 1, run1_Map1_koh__init.txt, run1_Map1_q_1.txt, , run1_Map1_q_1.txt, 8522, 1482, 85.19%, 0, 0, 0.00%, 8522, 1482, 85.19%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 
[Map1 Map1 Map1 Map1 ], 2500, 0, False, 0.0001, 1, 0.01, 30, 30, 2, 0.5, 1, run1_Map1_koh__init.txt, run1_Map1_q_2.txt, , run1_Map1_q_2.txt, 7420, 2587, 74.15%, 0, 0, 0.00%, 7420, 2587, 74.15%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 
[Map1 Map1 Map1 Map1 ], 2500, 0, False, 0.0001, 1, 0.01, 30, 30, 2, 0.5, 1, run1_Map1_koh__init.txt, run1_Map1_q_3.txt, , run1_Map1_q_3.txt, 7609, 2397, 76.04%, 0, 0, 0.00%, 7609, 2397, 76.04%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 
[Map1 Map1 Map1 Map1 ], 2500, 0, False, 0.0001, 1, 0.01, 30, 30, 2, 0.5, 1, run1_Map1_koh__init.txt, run1_Map1_q_4.txt, , run1_Map1_q_4.txt, 9138, 869, 91.32%, 0, 0, 0.00%, 9138, 869, 91.32%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 
